股票代码,M120,收盘价,偏离度
600295,12.64,15.91,25.9
600028,5.94,6.33,6.54
601318,62.05,61.2,-1.37
601857,9.85,12.05,22.38
600188,14.81,21.77,47.0
600016,3.96,3.96,-0.07
000895,26.18,27.93,6.67
000651,39.2,38.6,-1.52
600177,7.42,7.56,1.84
600750,22.99,25.3,10.05
600153,9.71,9.45,-2.63
002555,22.99,23.54,2.39
600273,9.3,10.28,10.56
000983,7.02,7.45,6.15
600015,6.73,7.16,6.34
600036,40.36,39.76,-1.49
600755,6.58,6.45,-1.95
600282,5.37,5.91,10.04
600123,6.46,7.21,11.67
600350,9.45,9.86,4.36
600398,6.3,6.3,0.04
601328,6.98,6.85,-1.88
600985,12.52,14.19,13.37
601939,9.0,9.15,1.66
601988,5.48,5.39,-1.71
002043,13.76,15.81,14.89
600997,6.39,6.87,7.49
600373,10.03,9.02,-10.1
601006,5.47,5.34,-2.37
600502,4.66,5.0,7.3
601398,7.56,7.2,-4.77
002540,7.02,7.12,1.43
600096,32.81,43.13,31.45
601169,5.56,5.49,-1.34
600737,16.6,15.74,-5.2
600348,8.4,10.15,20.86
601088,41.23,48.92,18.65
601009,11.08,11.18,0.93
601166,19.76,18.83,-4.69
601998,7.52,7.51,-0.08
601168,26.42,30.02,13.62
601699,13.81,15.2,10.08
600971,6.87,7.95,15.7
601000,4.01,4.37,8.88
601288,7.3,6.62,-9.36
600039,9.48,9.95,4.92
601818,3.36,3.33,-1.04
000915,32.9,33.1,0.62
600256,5.35,7.51,40.26
002563,5.58,5.51,-1.25
601717,24.08,22.89,-4.93
601666,8.31,9.09,9.43
601101,7.68,9.04,17.75
600546,10.8,12.39,14.77
002572,13.62,13.13,-3.6
000672,11.89,13.94,17.22
601225,22.42,26.24,17.01
600057,8.12,8.73,7.5
601001,14.96,18.15,21.34
002756,48.69,69.81,43.36
603508,29.03,26.2,-9.76
002867,12.83,12.22,-4.78
601598,6.18,6.02,-2.59
600919,10.27,10.75,4.72
601919,14.8,15.78,6.6
601229,9.65,9.87,2.28
601997,5.93,5.9,-0.44
600901,6.06,6.49,7.15
601838,16.88,17.15,1.58
601825,8.77,8.81,0.46
603565,10.62,10.99,3.5
600938,30.11,42.0,39.47
603967,12.4,13.01,4.91
601658,5.45,5.08,-6.81
601077,6.45,6.97,8.01
601187,7.07,7.4,4.64
